Rate,Method,MAE,RMSE,PSNR,SSIM,IoU,Time
0.1,K-Means,33.42935775625275,40.83008354407202,25.31766239854605,0.9148145795241299,0.8343926159343941,0.3617277145385742
0.1,Spectral,32.05175271687455,38.26330681692032,25.88161776558271,0.9168577227744293,0.9521379618593564,1.0406029224395752
0.1,DBSCAN,37.607100271078025,47.57048987227398,23.99051529499724,0.9142713584910975,0.9393142264273943,9.293460607528687
0.1,DBSCANR,14.185664372487704,20.885520786351425,31.140361589740372,0.9403499395533488,0.9693303427170256,10.214263677597046
0.1,AR-DBSCAN,37.272811954293395,47.93670710409515,23.92390381126246,0.9145440114524889,0.9553309209758375,11.81125807762146
0.1,GB-DBSCAN,31.726355683423858,37.99350849261602,25.9430797670597,0.9191112171804423,0.9522359710622609,44.33493113517761
0.1,HDBSCAN,13.715652186129631,19.738835606196947,31.63083716836864,0.9467630683020327,0.9895574583321157,7.822882652282715
0.1,KNN-DBSCAN,37.607100271078025,47.57048987227398,23.99051529499724,0.9142713584910975,0.9393142264273943,9.10537838935852
0.1,K-Means,35.694176551923796,43.11979862452396,25.378425911148778,0.9072765710723768,0.9825170629795104,0.4470179080963135
0.1,Spectral,57.12247315338527,67.53032612194099,21.481983449519902,0.8970167488140721,0.8834150018846588,0.8852696418762207
0.1,DBSCAN,60.754261728138424,70.73763802904922,21.078949303000027,0.895348918225059,0.8655312705808492,8.01074481010437
0.1,DBSCANR,17.480476583865535,24.33775318090626,30.346350741850628,0.93372303876224,0.9840012437195695,10.104842185974121
0.1,AR-DBSCAN,60.7383138955793,70.72354215761135,21.080680310530227,0.8953543656291325,0.8655312705808492,8.65461277961731
0.1,GB-DBSCAN,60.63958226845142,70.72892645413799,21.080019065012337,0.896047792599087,0.8667916176008188,44.46086049079895
0.1,HDBSCAN,13.575707193377099,19.99476648293337,32.05363366223575,0.9479865732572937,0.9884295068766026,7.178199052810669
0.1,KNN-DBSCAN,60.754261728138424,70.73763802904922,21.078949303000027,0.895348918225059,0.8655312705808492,7.966553211212158
0.1,K-Means,23.815546693866654,29.595184939096175,28.598236507631484,0.928575472995805,0.9777527956925626,0.36605381965637207
0.1,Spectral,25.33890102954791,30.73139038704708,28.27101348009559,0.924526854405043,0.970134558582212,0.8872449398040771
0.1,DBSCAN,53.432458809290864,62.35393214855347,22.125380750696767,0.9070549941441829,0.8919579499245269,8.974961519241333
0.1,DBSCANR,13.332682756791458,19.399852489697157,32.26668911761067,0.9472057758550803,0.9790508334073482,10.095157384872437
0.1,AR-DBSCAN,53.43517428276767,62.35419577098826,22.125344028224653,0.9070539975247582,0.8919579499245269,7.992769956588745
0.1,GB-DBSCAN,53.429092614976845,62.35365497529685,22.12541936095895,0.9070614054764556,0.8919579499245269,48.65579700469971
0.1,HDBSCAN,11.442936055221265,16.529661622897688,33.65737840648317,0.9538047403621293,0.9825013508458373,7.110663414001465
0.1,KNN-DBSCAN,53.432458809290864,62.35393214855347,22.125380750696767,0.9070549941441829,0.8919579499245269,8.970179080963135
0.1,K-Means,35.87191905956219,42.0911429339966,25.59573035306613,0.9172788618675569,0.9297541910932839,0.34096860885620117
0.1,Spectral,41.95198935531189,49.86839475071603,24.123036953461735,0.916791900507758,0.8705567638347973,1.0692825317382812
0.1,DBSCAN,48.94431210223286,57.89096119122241,22.827329517540612,0.9115011314147924,0.8477409045138129,8.44515872001648
0.1,DBSCANR,15.369621661738305,22.772020146031608,30.93151353898246,0.9433175357110096,0.9729617252033546,10.136361837387085
0.1,AR-DBSCAN,47.8814445665828,56.742851516261695,23.001321591146837,0.9114138108952562,0.8656771467849917,3.135843515396118
0.1,GB-DBSCAN,38.82299470790006,45.74331988443709,24.872991107345847,0.9184228369793992,0.8657158505370696,46.76093864440918
0.1,HDBSCAN,13.313623193762929,19.18197224387196,32.42167956132218,0.9485365465256146,0.9702825521079534,6.99678111076355
0.1,KNN-DBSCAN,48.94431210223286,57.89096119122241,22.827329517540612,0.9115011314147924,0.8477409045138129,8.462841272354126
0.1,K-Means,32.48788282265666,40.55223908185037,25.926890258674046,0.9262233983018991,0.952155272240455,0.37012743949890137
